job_size_sqft,num_rooms,num_heavy_items,num_light_items,distance_km,floor_number,has_elevator,past_avg_hours,past_avg_crew_size,crew_size,hours_required
585,1,2,5,10.779911532080726,9,True,3.672053810358677,1.5088632509540192,2,2.0
2776,7,0,23,11.234748520177977,5,False,4.972496006237473,2.4421263866920464,2,5.839582326406332
2394,8,6,39,5.536777843693659,5,True,2.6522013911360993,2.849331392195061,2,2.089830038891037
1704,6,3,29,10.749850753187731,0,False,2.855226673276224,1.9899303049248918,2,2.0
1685,4,4,9,17.88198249341105,7,True,2.929107347937122,1.8606699472938881,2,2.4410652417085177
3047,8,6,28,1.0,9,True,4.842523911178954,2.0171584278235124,2,3.9297640495161223
575,2,3,8,15.234544991006512,4,False,2.6804788851268273,2.036732963231289,2,2.749042683114407
2531,6,6,24,10.91909580106353,2,False,3.497542633531095,4.0493274420254775,3,3.0060771314514056
944,2,1,8,4.805989279096753,11,True,2.1228128455661706,2.2180618030981036,2,2.0
601,2,2,10,10.819781622702198,5,False,1.5,1.814668314272011,2,2.0
1984,7,9,25,10.42753022453218,7,True,1.5,3.1987128839492676,3,2.0
3421,8,5,44,7.905750722790392,9,True,3.0548166227010825,3.468023163886317,3,2.0
2654,6,4,28,13.138339575656488,7,True,1.5437028664665438,1.5263776021341606,2,2.002841290378465
2735,6,4,18,5.6186168578452165,6,True,3.226789822580562,2.127457226955457,2,3.551439638804128
2595,6,5,23,10.224707672605861,8,False,7.503481675421888,2.01166488736923,2,6.738147838365347
2815,7,7,32,12.687890286478511,10,False,2.7498265635961276,1.4245234694517235,2,2.8728560501946903
1942,5,3,13,6.303151222600833,8,False,3.7000651055745175,2.787784436252511,3,2.989412752812995
709,1,0,5,7.775334238460962,10,True,1.8932467699367734,1.7585770077314957,2,2.0
2987,8,5,38,12.230739144914155,3,True,1.5,1.7510370292546542,2,2.0
1741,4,1,18,10.81971818156453,2,False,5.298109165022636,2.9355810502509883,2,4.281333983003467
1901,5,4,27,5.680654085568281,1,False,1.5,2.009666160257175,2,2.2647858219618358
1486,6,5,19,4.028124558579983,0,False,3.26149946496764,2.1735703184868767,2,2.0
884,3,3,11,8.670641271273071,5,False,6.902258995306836,2.328252998899104,2,6.3293513119984395
3265,8,13,37,13.527721307861182,10,True,4.122860308455236,2.9670385856748287,3,4.644797852433791
2801,8,5,31,2.74728944763202,0,False,4.059434531192884,1.7776681919583202,2,3.464975717351175
2360,6,2,23,5.469850473694205,7,True,1.561923770855787,2.745107192289678,2,2.0262274864748178
1587,5,4,24,14.101469493098568,9,True,1.8886041256190493,2.748881146380666,2,2.653037919550051
2932,8,5,17,6.247146339429888,11,True,5.825939498723425,2.453455765790297,2,5.614243321603501
2045,5,5,19,7.8690609387359185,9,False,6.453620400248704,1.9445386954896553,2,5.675580418144351
1718,5,6,16,3.4239318965127232,0,False,2.2771822597781566,2.175417464256507,2,2.0
1741,3,2,14,3.1338675307595003,1,False,1.5,1.5932345433383672,2,2.0
1027,3,3,16,5.285444282902834,11,True,1.5,2.0495357571151165,2,2.1039871999641373
594,2,2,5,6.60237995560609,1,False,2.735006029482485,1.4114652515151043,2,2.9111139546147067
2074,6,4,27,10.186518496447196,11,True,3.9518975204884974,2.398593045343725,2,5.046775510260799
3141,8,5,35,20.343810282663863,11,True,2.397751205763333,3.8228447880802223,3,2.4965053590368784
504,1,1,5,3.0976533226038674,3,True,1.9657636479956724,1.435926267994224,2,2.0
3046,8,9,32,1.871685717269631,9,False,5.0172521241579,3.877219524569012,3,4.305190570759372
2948,8,6,28,1.6668473482024526,0,False,2.645939992562267,2.313211881543433,2,2.0
1185,3,2,13,8.543299154241463,1,False,2.9824953943002033,1.6110549778204695,2,2.0
2321,7,8,22,10.265246028333292,4,True,2.3172682514489136,2.1278309422178743,2,2.33496781779618
828,2,0,11,4.319097182496104,2,False,1.5982301741099738,3.769280403043593,3,2.0
2725,8,5,37,8.121916042619763,5,False,4.8186097283148595,2.6195151195828634,2,4.379417796423526
2541,8,8,34,15.057124022840924,3,False,3.7828276445435836,2.604118230808864,2,3.3594252530394044
1434,4,3,21,6.18664838750199,3,False,2.3790081698268017,1.8138894379795947,2,2.0
517,2,0,5,5.758718560211545,4,False,3.9099576395878337,1.5310928994940771,2,2.0
3406,8,4,31,2.6368439602529903,0,False,7.178124995323454,1.9990022006959287,2,6.5134865711813035
1726,6,3,30,9.854370395142352,8,True,3.1834292301858564,2.060197749843128,2,2.0
3157,8,3,26,3.9878810929808224,10,False,1.5,1.8925373446863045,2,2.0
2469,8,6,40,11.671736594789026,4,True,1.5,1.6947307341203455,2,2.0
2790,8,4,29,6.056971038517055,2,False,1.976781536145153,1.4952964402030002,2,2.7509436553821724
2731,8,6,30,6.581438202221063,10,True,4.191215552371642,2.35589869754219,2,4.176045869118563
922,1,1,5,1.2775763463416043,10,True,1.857068350430397,1.6465823616695827,2,2.0
1464,4,2,21,15.361518209108525,5,False,2.2635965693315123,2.4026456820276203,2,2.0
1793,6,8,19,13.084329894041202,3,False,3.6526125866958283,2.850257060832414,3,2.0
1892,6,8,22,3.8876674888201066,8,True,1.9103609338399035,1.951776416696481,2,2.0
440,2,3,6,11.805213448372873,10,False,4.929185851655178,1.4106700187938803,2,4.445126623105332
2049,7,6,18,3.0235508268834073,0,False,2.0766502650416867,2.200465907197803,2,2.0
793,3,3,20,11.948559023418746,3,True,3.3150594902014863,1.8617316275272344,2,2.2327746517003426
2678,8,4,29,10.388094137848059,10,False,4.4463317980859,1.4615640396600798,2,3.8090776950667458
2485,8,7,39,19.383440925144388,1,False,4.590304481063157,1.8854662304312284,2,4.640446649382435
3252,8,9,24,10.185795304671881,2,False,3.1432168792987976,1.568654141165223,2,2.1819570802307853
2683,8,4,41,3.6010741367180925,9,True,2.61039858287229,1.2120359939045278,2,2.0
1473,5,4,21,8.159842420625047,9,True,2.993422892526713,2.377175191203099,2,2.1296671194249983
3396,8,3,41,5.944089658306098,3,False,2.2361482456268105,1.4259291663518359,2,2.1916113214064405
1614,4,3,20,18.64060101735274,10,True,2.664819788188405,2.2269717986030555,2,2.0
1342,6,14,27,2.0007608362443987,3,False,1.7728135603500108,4.142896727501736,3,2.0
3197,8,6,37,7.920822561886971,2,False,2.020512525452886,2.530189090648071,3,3.0376103523471976
1485,5,2,21,3.4611377538950205,4,False,3.550574169104115,3.2330953865025975,3,4.008930355193361
544,2,3,11,21.893336537856705,7,True,5.244681880756762,2.7968438892861243,3,4.632356844679609
1802,5,2,18,8.557697079894465,7,True,2.5341558230766568,2.124570008384115,2,2.0
2846,8,8,37,10.880665742442623,3,False,4.503964444343331,1.114255547250226,2,5.1902797380805055
906,4,4,15,6.002860052834156,7,False,3.376120741216033,2.204417194857352,2,2.0
1781,6,4,27,12.097622482005402,0,False,1.5,2.0523237186205603,2,2.4333816887123056
715,1,1,5,3.6093689759770005,0,False,3.412897878238045,3.2053707977398287,2,3.248053853051638
2496,7,7,31,3.8145918153235874,2,False,2.750548372038452,1.0,2,3.164131439737309
1822,7,5,48,18.47986021561307,11,True,4.884450327404129,2.7582953933854735,3,4.6894019340202515
1356,4,4,21,32.25880398660635,8,True,1.5,2.228390961383887,2,2.0
1026,1,2,5,1.436089296920033,0,False,1.5,2.440225921693303,2,2.0
2106,8,12,27,4.716605168296935,0,False,1.5865860585454827,1.9381300433385642,2,2.195492680102012
2443,8,6,33,14.938586104041473,10,True,4.935570615968629,2.632202899935908,2,4.256399995108447
3308,8,7,23,10.368307843258997,6,False,2.3921132830800094,2.0321727320186893,2,2.204632981077664
1698,4,4,16,4.037518159335573,8,True,1.5,2.0678802833324097,2,2.4083228463231636
814,3,0,15,5.740823445887156,3,False,2.967850393752209,1.1339698053992864,2,2.0
2964,8,6,40,4.309763978374822,3,False,3.2043970119176057,2.292411538392657,2,2.9833187971117434
2315,8,4,32,11.433255796189943,1,False,2.753599870425782,3.758377391948984,3,2.0
2540,8,6,31,4.02428948807287,7,False,1.6618344130098206,1.5046908017502238,2,2.0
611,2,3,7,5.8123147249201255,6,True,1.5,1.7792254075584981,2,2.0
1299,4,4,15,12.899273993420232,6,True,3.487508352545918,1.2916607144682306,2,2.0
2757,8,7,25,9.24758738116625,11,True,2.0587875791408647,2.2322476950560537,2,2.2300484585395624
2963,8,9,33,16.289837030326588,8,False,4.916201417267136,1.9186447492017673,2,3.927738111569422
1692,4,6,17,3.9133466278518014,11,True,1.6157030733814657,3.405482764830514,3,2.0
2875,7,4,29,5.63643845281132,8,True,2.0928747629924653,1.9614279971142574,2,2.0
2993,8,6,35,3.538264669644719,1,False,4.013458932461438,1.951619714093459,2,5.640374934714044
1539,5,4,19,4.990389540845273,6,False,1.5,1.9691229080687647,2,2.0
3173,8,9,27,2.2713392507776624,11,True,3.482156527354822,2.084655696196272,2,2.0
1222,4,3,10,1.0,8,False,3.352875712987205,2.0113708091513813,2,2.4799310482020065
1066,3,2,10,1.9471022669160207,1,False,3.184342510741958,2.2125237945635523,2,2.0
2483,8,9,32,13.29460887526726,2,False,2.8240570266156824,3.713907583052947,3,2.337604615285429
2337,7,3,27,2.112623584500849,0,False,4.907167598609663,2.48745013743771,2,4.6559767439719675
747,2,2,7,10.053393983388826,8,True,2.954744517128809,2.8779787309513285,2,2.0
2964,8,10,33,5.206386035701681,5,True,2.9148198040867483,1.4153669315394604,2,2.0
939,5,2,13,5.943789321842367,5,True,2.3021069837331907,1.621839308877703,2,2.0
2875,6,5,28,2.356427820560222,11,True,2.0958212032348067,2.554533490844379,2,2.0
323,1,0,5,4.46403217228214,11,True,2.9579666203398483,2.494272073685274,3,2.0
2849,6,7,25,8.653031873036612,1,False,4.516087984585521,2.809951007320626,2,5.552232506267323
2818,8,9,35,2.150989954141141,10,True,1.9823870672330468,1.7449226849645874,2,2.282927182872098
2797,8,9,32,4.217242600508365,11,True,1.5,1.9276921767482424,2,2.3830860094189936
2427,5,4,18,7.668248005324795,0,False,1.5,1.8140725539254285,2,2.065664947352387
1809,6,6,21,10.232304270914646,10,True,2.210134066290667,3.0061094236956336,3,2.0
